,Material ID,Material Desc,Time Interval,UOM,Min Total Quantity (BOX),Max Total Quantity (BOX),Average Total Quantity (BOX)
4,10016,CIPTADENT TP MAXI 12 CM 190GR,15:00-17:00,PCS,0.08,3.79,1.74
3,10016,CIPTADENT TP MAXI 12 CM 190GR,13:00-15:00,PCS,0.5,2.83,1.38
5,10016,CIPTADENT TP MAXI 12 CM 190GR,17:00-19:00,PCS,0.12,1.67,1.03
2,10016,CIPTADENT TP MAXI 12 CM 190GR,11:00-13:00,PCS,0.12,1.67,0.57
0,10016,CIPTADENT TP MAXI 12 CM 190GR,07:00-09:00,PCS,0.5,0.75,0.55
1,10016,CIPTADENT TP MAXI 12 CM 190GR,09:00-11:00,PCS,0.25,0.75,0.5
6,10016,CIPTADENT TP MAXI 12 CM 190GR,19:00-21:00,PCS,0.25,0.5,0.42
11,10022,KODOMO TP STRAWBERRY TUBE 45GR,15:00-17:00,PCS,0.08,2.28,0.69
10,10022,KODOMO TP STRAWBERRY TUBE 45GR,13:00-15:00,PCS,0.08,1.67,0.56
12,10022,KODOMO TP STRAWBERRY TUBE 45GR,17:00-19:00,PCS,0.03,1.89,0.5
7,10022,KODOMO TP STRAWBERRY TUBE 45GR,07:00-09:00,PCS,0.08,0.94,0.26
8,10022,KODOMO TP STRAWBERRY TUBE 45GR,09:00-11:00,PCS,0.03,0.42,0.22
13,10022,KODOMO TP STRAWBERRY TUBE 45GR,19:00-21:00,PCS,0.11,0.33,0.21
9,10022,KODOMO TP STRAWBERRY TUBE 45GR,11:00-13:00,PCS,0.08,0.39,0.19
18,10024,KODOMO TP GRAPE TUBE 45GR,15:00-17:00,PCS,0.08,1.58,0.47
17,10024,KODOMO TP GRAPE TUBE 45GR,13:00-15:00,PCS,0.03,1.75,0.37
19,10024,KODOMO TP GRAPE TUBE 45GR,17:00-19:00,PCS,0.03,0.75,0.33
15,10024,KODOMO TP GRAPE TUBE 45GR,09:00-11:00,PCS,0.06,0.56,0.22
14,10024,KODOMO TP GRAPE TUBE 45GR,07:00-09:00,PCS,0.06,0.28,0.17
20,10024,KODOMO TP GRAPE TUBE 45GR,19:00-21:00,PCS,0.11,0.19,0.15
16,10024,KODOMO TP GRAPE TUBE 45GR,11:00-13:00,PCS,0.06,0.33,0.14
25,10025,KODOMO TP ORANGE TUBE 45GR,15:00-17:00,PCS,0.08,1.47,0.51
24,10025,KODOMO TP ORANGE TUBE 45GR,13:00-15:00,PCS,0.08,1.75,0.41
26,10025,KODOMO TP ORANGE TUBE 45GR,17:00-19:00,PCS,0.03,1.53,0.38
21,10025,KODOMO TP ORANGE TUBE 45GR,07:00-09:00,PCS,0.03,0.86,0.2
22,10025,KODOMO TP ORANGE TUBE 45GR,09:00-11:00,PCS,0.03,0.39,0.17
27,10025,KODOMO TP ORANGE TUBE 45GR,19:00-21:00,PCS,0.11,0.19,0.15
23,10025,KODOMO TP ORANGE TUBE 45GR,11:00-13:00,PCS,0.06,0.28,0.15
32,10055,EMERON SHAMPOO BLACK&SHINE BTL 70ML,19:00-21:00,PCS,0.58,0.58,0.58
31,10055,EMERON SHAMPOO BLACK&SHINE BTL 70ML,17:00-19:00,PCS,0.08,0.29,0.19
30,10055,EMERON SHAMPOO BLACK&SHINE BTL 70ML,15:00-17:00,PCS,0.12,0.25,0.19
29,10055,EMERON SHAMPOO BLACK&SHINE BTL 70ML,13:00-15:00,PCS,0.04,0.25,0.13
28,10055,EMERON SHAMPOO BLACK&SHINE BTL 70ML,11:00-13:00,PCS,0.12,0.12,0.12
35,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,11:00-13:00,PCS,0.75,0.75,0.75
34,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,09:00-11:00,PCS,0.5,0.5,0.5
38,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,17:00-19:00,PCS,0.08,0.75,0.39
37,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,15:00-17:00,PCS,0.08,0.5,0.32
36,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,13:00-15:00,PCS,0.08,0.42,0.24
33,10056,EMERON SHAMPOO BLACK&SHINE BTL 170ML,07:00-09:00,PCS,0.17,0.25,0.21
44,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,17:00-19:00,PCS,0.08,0.75,0.4
41,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,11:00-13:00,PCS,0.17,0.58,0.38
40,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,09:00-11:00,PCS,0.25,0.5,0.38
43,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,15:00-17:00,PCS,0.08,0.58,0.33
39,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,07:00-09:00,PCS,0.17,0.25,0.21
42,10060,EMERON SHAMPOO HAIRFALL CTRL BTL 170ML,13:00-15:00,PCS,0.08,0.25,0.17
46,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,09:00-11:00,PCS,0.58,0.58,0.58
49,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,15:00-17:00,PCS,0.08,0.83,0.42
50,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,17:00-19:00,PCS,0.17,0.75,0.4
45,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,07:00-09:00,PCS,0.25,0.5,0.38
48,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,13:00-15:00,PCS,0.08,0.5,0.22
47,10064,EMERON SHAMPOO SOFT&SMOOTH BTL 170ML,11:00-13:00,PCS,0.17,0.17,0.17
54,10070,MAMA LEMON PCH 680ML,13:00-15:00,PCS,0.08,1.17,0.42
55,10070,MAMA LEMON PCH 680ML,15:00-17:00,PCS,0.08,1.08,0.38
56,10070,MAMA LEMON PCH 680ML,17:00-19:00,PCS,0.08,1.17,0.38
53,10070,MAMA LEMON PCH 680ML,11:00-13:00,PCS,0.08,0.58,0.33
52,10070,MAMA LEMON PCH 680ML,09:00-11:00,PCS,0.08,0.5,0.25
51,10070,MAMA LEMON PCH 680ML,07:00-09:00,PCS,0.08,0.5,0.22
57,10070,MAMA LEMON PCH 680ML,19:00-21:00,PCS,0.08,0.08,0.08
60,10071,MAMA LIME PCH 690 G,13:00-15:00,PCS,0.08,1,0.51
62,10071,MAMA LIME PCH 690 G,17:00-19:00,PCS,0.08,0.5,0.31
61,10071,MAMA LIME PCH 690 G,15:00-17:00,PCS,0.08,0.75,0.26
59,10071,MAMA LIME PCH 690 G,11:00-13:00,PCS,0.08,0.25,0.19
58,10071,MAMA LIME PCH 690 G,09:00-11:00,PCS,0.17,0.17,0.17
67,10232,KODOMO TB ZIGZAG,17:00-19:00,PCS,0.25,0.67,0.48
65,10232,KODOMO TB ZIGZAG,13:00-15:00,PCS,0.25,0.5,0.42
64,10232,KODOMO TB ZIGZAG,09:00-11:00,PCS,0.17,0.5,0.33
66,10232,KODOMO TB ZIGZAG,15:00-17:00,PCS,0.17,0.5,0.3
63,10232,KODOMO TB ZIGZAG,07:00-09:00,PCS,0.08,0.25,0.17
73,10260,KODOMO TB REG 2 IN 1,17:00-19:00,PCS,0.25,1,0.6
72,10260,KODOMO TB REG 2 IN 1,15:00-17:00,PCS,0.17,1.17,0.56
71,10260,KODOMO TB REG 2 IN 1,13:00-15:00,PCS,0.17,1,0.47
68,10260,KODOMO TB REG 2 IN 1,07:00-09:00,PCS,0.08,0.58,0.28
69,10260,KODOMO TB REG 2 IN 1,09:00-11:00,PCS,0.08,0.33,0.21
70,10260,KODOMO TB REG 2 IN 1,11:00-13:00,PCS,0.08,0.17,0.14
79,10261,KODOMO TB ZIGZAG 2 IN 1,17:00-19:00,PCS,0.25,1,0.55
78,10261,KODOMO TB ZIGZAG 2 IN 1,15:00-17:00,PCS,0.25,1.25,0.53
77,10261,KODOMO TB ZIGZAG 2 IN 1,13:00-15:00,PCS,0.17,1.25,0.53
75,10261,KODOMO TB ZIGZAG 2 IN 1,09:00-11:00,PCS,0.08,0.5,0.33
74,10261,KODOMO TB ZIGZAG 2 IN 1,07:00-09:00,PCS,0.08,0.5,0.21
76,10261,KODOMO TB ZIGZAG 2 IN 1,11:00-13:00,PCS,0.17,0.17,0.17
83,10268,KODOMO TB REG,13:00-15:00,PCS,0.17,0.67,0.45
85,10268,KODOMO TB REG,17:00-19:00,PCS,0.25,0.5,0.38
84,10268,KODOMO TB REG,15:00-17:00,PCS,0.08,0.75,0.36
82,10268,KODOMO TB REG,11:00-13:00,PCS,0.33,0.33,0.33
81,10268,KODOMO TB REG,09:00-11:00,PCS,0.08,0.58,0.31
80,10268,KODOMO TB REG,07:00-09:00,PCS,0.17,0.25,0.21
89,10308,KODOMO TP MELON TUBE 45GR,13:00-15:00,PCS,0.08,1,0.29
91,10308,KODOMO TP MELON TUBE 45GR,17:00-19:00,PCS,0.03,1.11,0.25
90,10308,KODOMO TP MELON TUBE 45GR,15:00-17:00,PCS,0.06,0.81,0.25
92,10308,KODOMO TP MELON TUBE 45GR,19:00-21:00,PCS,0.08,0.33,0.21
88,10308,KODOMO TP MELON TUBE 45GR,11:00-13:00,PCS,0.06,0.36,0.14
87,10308,KODOMO TP MELON TUBE 45GR,09:00-11:00,PCS,0.03,0.33,0.12
86,10308,KODOMO TP MELON TUBE 45GR,07:00-09:00,PCS,0.03,0.19,0.1
94,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,09:00-11:00,PCS,0.58,0.58,0.58
98,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,19:00-21:00,PCS,0.5,0.5,0.5
96,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,15:00-17:00,PCS,0.17,0.5,0.36
97,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,17:00-19:00,PCS,0.08,0.75,0.31
93,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,07:00-09:00,PCS,0.17,0.17,0.17
95,10312,EMERON SHAMPOO ANTI DAND BTL 170ML,13:00-15:00,PCS,0.08,0.08,0.08
99,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,09:00-11:00,PCS,0.33,0.33,0.33
103,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,17:00-19:00,PCS,0.33,0.33,0.33
102,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,15:00-17:00,PCS,0.04,0.42,0.21
101,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,13:00-15:00,PCS,0.17,0.21,0.19
